Employee_ID,Name,Department,Age,Gender,Salary,Experience_Years
E001,Diana1,HR,39,Male,58000,8
E002,Diana2,Operations,56,Male,105000,27
E003,Bob3,HR,27,Male,59000,32
E004,Neha4,HR,57,Male,113000,34
E005,Nisha5,IT,50,Female,30000,10
E006,Nisha6,Finance,39,Male,57000,21
E007,Diana7,HR,46,Male,75000,22
E008,Neha8,Finance,24,Female,98000,7
E009,Mohan9,HR,57,Female,110000,23
E010,Vikram10,IT,26,Male,114000,14
E011,Julia11,HR,36,Male,78000,17
E012,Omar12,Operations,45,Male,77000,22
E013,George13,Operations,39,Male,107000,10
E014,Sneha14,Operations,37,Male,89000,24
E015,Ishan15,Operations,57,Male,117000,20
E016,Bob16,IT,24,Female,81000,17
E017,Charlie17,IT,58,Female,57000,31
E018,Mohan18,Operations,51,Male,63000,8
E019,Hina19,Operations,57,Female,104000,27
E020,Vikram20,Marketing,45,Male,47000,32
E021,Priya21,HR,25,Male,49000,10
E022,Nisha22,Sales,26,Female,78000,29
E023,Rahul23,Finance,57,Male,117000,7
E024,Sneha24,Finance,43,Male,67000,27
E025,Farah25,Marketing,22,Female,94000,11
E026,Rahul26,HR,41,Male,49000,23
E027,Farah27,Sales,55,Male,106000,20
E028,Priya28,HR,29,Female,69000,15
E029,Bob29,IT,58,Male,40000,31
E030,Charlie30,Sales,30,Male,114000,30
E031,Sneha31,IT,38,Female,57000,34
E032,George32,Operations,41,Female,115000,23
E033,Omar33,Sales,50,Male,61000,14
E034,Charlie34,Finance,23,Male,105000,14
E035,Alice35,HR,25,Male,38000,2
E036,Kevin36,HR,54,Male,65000,31
E037,George37,Sales,30,Female,61000,30
E038,Nisha38,IT,28,Male,114000,27
E039,Lina39,Marketing,48,Female,36000,6
E040,Bob40,Marketing,43,Male,61000,12
E041,George41,Sales,50,Male,84000,11
E042,Ishan42,Marketing,37,Male,86000,35
E043,Diana43,HR,56,Male,41000,15
E044,Farah44,Marketing,53,Female,57000,25
E045,Bob45,IT,46,Male,79000,16
E046,Omar46,Finance,49,Female,49000,12
E047,Julia47,IT,25,Male,70000,3
E048,Bob48,Sales,52,Male,37000,32
E049,Charlie49,IT,26,Male,116000,15
E050,Mohan50,HR,58,Male,104000,2
E051,Neha51,HR,48,Female,63000,13
E052,Kevin52,IT,38,Female,46000,19
E053,Omar53,Finance,26,Male,88000,6
E054,Charlie54,Sales,35,Female,46000,22
E055,Charlie55,IT,45,Female,50000,28
E056,Sneha56,Operations,41,Male,115000,35
E057,Julia57,Operations,28,Male,63000,7
E058,Diana58,Operations,57,Male,64000,18
E059,Neha59,IT,43,Male,117000,16
E060,Rahul60,Marketing,38,Male,41000,27
E061,Ishan61,HR,22,Female,46000,16
E062,Farah62,Operations,50,Female,101000,0
E063,Diana63,HR,31,Male,77000,35
E064,Ethan64,Marketing,30,Male,69000,23
E065,Bob65,Finance,35,Male,115000,6
E066,Lina66,Sales,48,Male,60000,10
E067,Farah67,Marketing,23,Male,72000,26
E068,Hina68,Finance,32,Male,78000,2
E069,Priya69,IT,34,Female,74000,19
E070,Hina70,IT,23,Male,81000,21
E071,Ishan71,HR,39,Female,112000,32
E072,Mohan72,Operations,56,Female,33000,7
E073,Ishan73,IT,59,Female,34000,6
E074,Neha74,Marketing,44,Female,85000,32
E075,Diana75,Marketing,58,Male,62000,2
E076,Nisha76,HR,55,Male,76000,27
E077,Charlie77,Operations,43,Female,114000,7
E078,Julia78,Sales,41,Female,71000,25
E079,Julia79,Sales,30,Male,83000,24
E080,Farah80,Sales,58,Female,81000,35
E081,Alice81,Finance,40,Male,85000,20
E082,Omar82,Marketing,50,Male,95000,30
E083,Farah83,Operations,27,Female,95000,21
E084,Charlie84,IT,41,Male,55000,9
E085,Alice85,HR,37,Female,108000,4
E086,Omar86,Marketing,58,Male,119000,24
E087,Priya87,Marketing,37,Male,113000,0
E088,Diana88,Marketing,36,Male,119000,33
E089,Omar89,HR,57,Male,45000,29
E090,Ethan90,Marketing,55,Female,86000,32
E091,Nisha91,Sales,50,Male,90000,28
E092,Ishan92,IT,39,Female,110000,15
E093,Ishan93,Marketing,26,Female,60000,17
E094,Kevin94,Finance,56,Male,47000,9
E095,Hina95,Marketing,31,Male,38000,26
E096,Nisha96,Finance,56,Female,83000,3
E097,George97,Marketing,46,Male,103000,24
E098,Priya98,HR,44,Female,79000,26
E099,Sneha99,Operations,56,Male,92000,14
E100,Ishan100,Marketing,53,Male,79000,21
